Asset Id,Asset Unique Id,Parent Asset Id,Date Created,External Asset Ref,External Asset Created On,External Asset Updated On,Client Asset Id,Client Date Created,Client Last Modified,Asset Type,Category Name,Asset Status,Compliance Status,Site Name,Sub Block Name,Zone Name,Location Name,
11749,ROSE - FD9,,2022-05-15 22:18:07,,,,,,,Fire Doors,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Bedroom 3,
11750,R0SE - FD10,,2022-05-15 22:19:49,,,,,,,Fire Doors,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory - Lounge 1,
11751,ROSE - FE1,,2022-05-15 22:21:16,,,,,,,Fire Exit Door,Fire,Assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory - Lounge 1,
11752,ROSE - FD12,,2022-05-15 22:22:43,,,,,,,Fire Doors,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,External,Apartment Annex 1,
11753,ROSE - FE2,,2022-05-15 22:24:54,,,,,,,Fire Exit Door,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory - Lounge 1,
11754,ROSE - FE3,,2022-05-15 22:26:14,,,,,,,Fire Exit Door,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory Lounge 2,
11755,ROSE - FE4,,2022-05-15 22:29:40,,,,,,,Fire Exit Door,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,External,Apartment Annex 1,
11756,ROSE -TMV1,,2022-05-15 22:31:28,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Main Bathroom,
11757,ROSE - TMV6,,2022-05-15 22:32:58,,,,,,,TMV (Thermostatic Mixing Valve),Water,Assigned,,ROSE HOUSE - Shelton fields,,Internal,En-suite Wetroom bedroom 3,
11758,ROSE - TMV7,,2022-05-15 22:34:41,,,,,,,TMV (Thermostatic Mixing Valve),Water,Assigned,,ROSE HOUSE - Shelton fields,,External,Apartment Annex 1,
11759,ROSE - EML1,,2022-05-15 22:36:28,,,,,,,Emergency Lights,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Hallway,
11760,ROSE - EML2,,2022-05-15 22:37:38,,,,,,,Emergency Lights,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Garden Room,
11761,ROSE - EML3,,2022-05-15 22:39:21,,,,,,,Emergency Lights,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Bedroom 2,
11762,ROSE - EML4,,2022-05-15 22:40:38,,,,,,,Emergency Lights,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory - Lounge 1,
11763,ROSE - EML5,,2022-05-15 22:41:46,,,,,,,Emergency Lights,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory Lounge 2,
11764,ROSE - EML6,,2022-05-15 22:43:00,,,,,,,Emergency Lights,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,External,Apartment Annex 1,
11765,ROSE - CP1,,2022-05-15 22:44:38,,,,,,,Call Point,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Hallway,
11766,ROSE - CP2,,2022-05-15 22:46:10,,,,,,,Call Point,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Conservatory - Lounge 1,
11767,ROSE - CP3,,2022-05-15 22:47:43,,,,,,,Call Point,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,External,Apartment Annex 1,
11768,ROSE - FA1,,2022-05-15 22:48:57,,,,,,,Fire Alarm,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Hallway,
11769,ROSE - FB1,,2022-05-15 22:49:52,,,,,,,Fire Blanket,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Kitchen,
11771,ROSE - FEX1,,2022-05-15 22:53:03,,,,,,,Fire Extinguisher,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Hallway,
11772,ROSE - CO1,,2022-05-15 22:54:05,,,,,,,C0 Monitor,Maintenance,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Laundry,
11773,ROSE - LR1,,2022-05-15 22:56:10,,,,,,,Record of Lint Removal,Fire,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Laundry,
11774,ROSE - EF1,,2022-05-15 22:57:18,,,,,,,Extractor Fan,Maintenance,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Main Bathroom,
11775,ROSE - EF2,,2022-05-15 22:58:12,,,,,,,Extractor Fan,Maintenance,Assigned,,ROSE HOUSE - Shelton fields,,Internal,En-suite Wetroom bedroom 3,
11776,ROSE - EF3,,2022-05-15 22:59:40,,,,,,,Extractor Fan,Maintenance,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Laundry,
11777,ROSE - EF4,,2022-05-15 23:00:33,,,,,,,Extractor Fan,Maintenance,Un-assigned,,ROSE HOUSE - Shelton fields,,External,Apartment Annex 1,
11778,ROSE - TMV2,,2022-05-19 14:56:43,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Main Bathroom,
11779,ROSE - TMV3,,2022-05-19 14:57:37,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Staff Toilet,
11780,ROSE - TMV4,,2022-05-19 14:58:36,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Kitchen,
11781,ROSE - TMV5,,2022-05-19 14:59:29,,,,,,,TMV (Thermostatic Mixing Valve),Water,Un-assigned,,ROSE HOUSE - Shelton fields,,Internal,Laundry,
