Asset Id,Asset Unique Id,Parent Asset Id,Asset Type,Compliance Status,Site Name,Site Postcode,Sub Block Name,Zone Name,Location Name,
12505,gfdsdbhgfdfgfd,,GE TEST A,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12506,745738894565,,Call Point,,,,,,,
12507,5676453545,,Central Heating,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Kitchen,
12508,456789876,,Water Outlet,,,,,,,
12509,53453453453453,,CW Test Asset Type A,,,,,,,
12510,GE MULTI SELECT ATTR TERST,,Water Outlet,,,,,,,
12511,76543456,,GE TEST A,,18 Irlam Road,IP2 9QR,,First Floor ,Bedroom 1,
12513,RT-EVID-01,,GE TEST A,,,,,,,
12514,RT-EVID-02,,GE TEST A,,,,,,,
12515,dsdsdsds,0,Call Point,,1 - Rooks Nest,RH9 8BY,,First Floor,CW Location,
12516,EviTag_iOS_0,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12517,EviTag_iOS_1,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12518,EviTag_iOS_2,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12519,EviTag_iOS_3,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12520,EviTag_iOS_4,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12521,EviTag_iOS_5,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12522,EviTag_iOS_6,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12523,EviTag_iOS_7,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12524,EviTag_iOS_8,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12525,EviTag_iOS_9,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12526,EviTag_iOS_10,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12527,EviTag_iOS_11,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12528,EviTag_iOS_12,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12529,EviTag_iOS_13,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12530,EviTag_iOS_14,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12531,EviTag_iOS_15,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12532,EviTag_iOS_16,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12533,EviTag_iOS_17,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12534,EviTag_iOS_18,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12535,EviTag_iOS_19,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12536,EviTag_iOS_20,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12537,EviTag_iOS_21,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12538,EviTag_iOS_22,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12539,EviTag_iOS_23,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12540,EviTag_iOS_24,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12541,EviTag_iOS_25,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12542,EviTag_iOS_26,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12543,EviTag_iOS_27,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12544,EviTag_iOS_28,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12545,EviTag_iOS_29,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12546,EviTag_iOS_30,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12547,EviTag_iOS_31,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
